pred,real
14297.7194428,15991
10207.6844774,11000
15550.9461239,15965
14696.6590351,14559
14367.1551264,12995
14723.1313206,15400
11826.7985464,12991
15917.5072816,16991
17558.6241408,17995
13255.3440328,13491
13779.4313778,12881
15511.1449292,16434
16106.2608032,15786
12458.8117276,12900
10705.0059575,10341
13352.9569092,13902
7631.56463325,4995
13583.3902591,13991
17430.3816826,17988
15636.6025266,15988
16118.5772707,14992
15133.1775583,14887
15173.898406,13994
13012.3304195,11987
10697.4533356,9999
16635.7761201,15998
15024.0400837,14000
16946.811663,16988
16794.1127489,16276
20017.6961365,19981
18214.425613,15200
12723.8002769,13000
8897.20260519,8990
11981.36568,11991
11330.2129787,11999
13168.5089075,12991
14852.6285024,13880
17178.0642699,18991
11495.2730082,11885
14831.6402118,15900
18041.9461878,17500
13210.3267926,13981
11066.5564078,10743
7394.25991876,5995
5712.84867121,6991
13883.4380876,12995
18674.5324657,20977
21039.1266136,23234
13915.1562581,13988
18229.1059608,17000
14921.9651907,15888
10915.1801358,9500
15526.3996008,14972
12331.5624231,11916
12409.6464548,12900
18369.8076435,18900
9352.87233273,8999
11884.4198854,12388
15065.0649642,13993
14867.9163754,13884
14636.26521,15999
17400.3892759,16995
18905.8707834,16991
18285.9989548,18500
16627.15852,16900
13545.6874731,13393
17049.5896422,16482
12692.6916903,13999
13850.3856344,14500
11565.1819562,10950
14597.0998449,13600
17153.9825546,15500
14914.0833546,15000
13678.833217,14000
10302.7702038,9991
12841.4365898,14988
18473.2340344,17500
9368.58380451,9200
12315.4344047,11893
16681.2353249,16000
13815.9028137,14991
15210.0134794,15000
14243.8789825,13991
17465.4918597,16994
13054.7306616,12991
9856.95321344,8744
14366.1537509,12888
15215.969291,14922
17732.6552404,15965
14423.1579528,15991
14252.5193,14192
16787.1514225,15881
14237.9227465,14981
19808.1358484,22991
11693.2420329,10594
14651.4740979,14888
9664.81909593,10500
5397.23409151,4700
15323.761207,15988
15146.6016683,13876
14317.6345999,13480
8355.23014709,8495
10302.6693066,8990
13645.3564383,13900
15631.0465711,14594
14664.3439725,15981
15085.2400839,14444
12594.2286712,12988
14687.177496,14491
17395.0092536,17500
15185.400956,14991
17244.8421647,16991
16774.5710421,15881
13425.3767469,13991
17707.7132304,16980
15520.8609931,15987
14252.4388264,14991
15797.9572745,16357
13099.2053002,13722
5439.34237784,5995
18900.4332387,17991
18271.5781937,17988
14363.6421528,14995
17910.372456,18371
11148.908182,13995
18529.3749399,18592
16659.7493437,15987
16827.7303533,15999
10162.3255915,7995
14925.5048489,14750
10434.2239132,10991
8085.55825779,6992
12949.7607832,10493
8478.20735949,6988
9728.71889103,10888
15643.7544795,15500
13266.9708827,12853
15242.5179477,14988
14398.6754544,13987
15706.5206899,15633
16127.434618,16991
14967.2210265,14988
15489.3770997,16500
17103.5707993,14981
18958.1286691,19503
17755.8963144,19400
17440.8381944,18991
22062.2150443,20900
10117.0023805,8988
16284.4590847,16888
13542.9917524,13981
6354.51807009,6995
8852.28008693,10995
15012.3915751,15658
13965.3511291,13991
14534.5241892,15000
13779.4186904,13999
8010.29659305,9995
11436.4357101,11950
14890.9413274,14995
14442.1092105,13900
15541.1989902,15900
14261.0678659,14175
14082.5680473,14581
15405.0640356,14592
16893.3851574,18480
13978.1643608,13488
14642.1089631,14354
19952.6865827,20982
16050.5069025,16500
14847.2188406,15000
7643.33111361,7991
13656.688031,12991
6428.02814545,4000
19566.1097468,20588
14266.8614301,14494
16489.8138856,17988
14998.3518525,15900
15976.9531648,15988
15856.5082504,15493
14406.2335149,13994
16031.3079118,15991
9725.77545694,8988
12087.3897681,11888
14270.1529543,14881
11555.710983,10495
15875.9709259,15984
16138.1506853,16491
20268.5929961,17950
8504.19438643,8991
8730.86968674,10000
7900.1190198,9995
9953.30658219,10500
18249.3687341,18991
8972.75357817,8555
11583.4944135,11988
13828.7957552,13995
7363.34258423,6999
13772.6248407,13982
15269.9193958,14995
5740.14510801,5981
5785.53504516,5908
5838.72738362,6995
6130.76980197,7000
11807.5042765,12900
9230.73060422,8990
16195.7491013,14594
13803.1534808,13982
11509.5023964,12988
13098.6307131,14992
14128.5599672,14900
14191.4582484,14492
9550.47072915,10988
18652.3742023,19885
17639.9139628,18968
14959.7494802,14244
13741.4139029,14994
16687.0232203,16999
10013.2095891,7710
11657.0326991,10991
6084.40861568,7795
4971.54977766,8995
13749.3496957,14981
7932.45231739,8988
15715.226184,17900
13548.2084198,13691
18086.1925783,18591
8555.03694604,8691
17469.251128,18825
16579.8984366,16500
19329.4650033,17800
10051.0180788,8880
10942.8160307,12500
8546.39084259,8883
19764.1690296,17995
8115.46211313,7500
14263.6144745,15488
15799.0938339,15980
12471.6974257,13916
11351.4889088,12800
16758.9259958,16899
15296.8340808,15999
17076.2350208,17995
12441.1340036,13944
14567.5798087,14900
9598.07829926,8600
15405.6017414,16500
8834.32285846,8995
11269.8808473,11600
15331.2520318,15392
19535.4854689,17191
4884.75039754,3991
13167.8610789,13982
15900.8920251,14738
14258.7474272,15995
12087.3897681,11888
5957.17182617,5998
17515.6814768,16882
13583.3581646,12994
15194.2485633,17888
16426.8103504,15882
17188.6845392,14994
15158.3478022,15000
16337.4562894,17849
15132.9734597,14991
13768.1320173,13422
14574.743525,13888
17846.1066081,17994
12248.0090035,12893
4527.64675383,5999
8150.12489696,6919
17824.0318097,14999
20711.0308481,21983
13930.6450968,12540
17302.3420546,16991
14521.8550801,13800
12074.7785131,12916
8886.59582277,8995
10600.4037596,9498
13442.3808085,12991
18961.4429729,16991
16635.4517524,16991
15802.0977757,15592
10452.565063,10888
16502.9865366,15988
13798.2343475,13500
11243.9784328,11457
6029.84465944,6491
19212.4084018,18400
14051.7323908,13980
13968.8827453,12774
6753.8297709,9500
20063.8858965,20499
8837.91402633,10795
13698.7675684,12991
17788.583012,16988
20754.4325018,22900
12016.9439703,11893
20506.4941226,19983
9399.47019549,9888
11978.0362713,11988
15490.7785978,15530
13559.0053574,11985
18358.3619683,17582
14537.4902382,12594
12790.788143,12779
18592.4831632,16981
11055.8998955,11000
15816.0070835,16795
14361.0043656,14490
13557.148976,12881
5114.80477662,6999
15139.195402,15000
12839.8590668,13916
14404.7736031,14980
15949.7741069,14978
9587.97127332,8998
18876.5585568,15993
19646.9669586,19991
13876.5555388,13981
14156.1745022,14988
14004.9815939,14999
13445.7756767,14999
14033.2511264,15991
13400.1200191,12981
5950.16330846,3975
15238.625358,16793
11029.2753503,11700
14060.8555208,14995
12051.5218659,12422
13194.7717692,12881
15802.2561016,15481
16935.7192397,18299
13315.3514129,13881
13327.2152141,11991
13896.7534838,13491
13824.2559546,13224
14525.9902029,13310
13013.58247,10998
14947.2911091,14900
13585.3149066,11999
13490.8250497,13591
16151.8411824,14984
10377.1994569,8999
16952.4310678,19780
17348.8606577,16988
16196.1147126,16000
15934.7439754,16250
17062.1261598,16988
10022.9285838,10000
20019.1689306,19000
20750.594445,21994
13662.3903138,13933
5687.13732051,4500
8112.03156941,9000
16908.6179955,17000
15652.5425302,15991
8718.6715766,7981
18675.1522097,18981
11526.9833327,12900
17616.1114844,17999
17123.478902,15580
12205.6785054,13488
7505.87795589,6897
5605.38679956,4981
12874.7867602,11500
15666.0577134,14987
13179.9864472,12984
11820.0066081,11792
15484.4350894,16300
16929.1923033,17400
14754.8247699,14796
18535.1266986,25555
15639.7500814,14991
11652.3815959,13588
17367.7578652,17991
15023.0341549,13982
13493.6718227,13991
12056.0089202,13491
11953.1291271,10991
19244.5097552,20985
12518.1260123,11990
14938.7102136,15000
8997.00808575,7950
18070.855924,17991
13642.8653529,13988
8943.629594,7995
16309.8025193,15727
15177.4492848,13994
14509.0742003,12985
6304.16573422,3475
13060.5306246,11999
11667.4626045,11991
15639.8952223,16500
14866.447209,13822
20244.0124953,18988
14194.3245135,13995
17543.6289037,17991
17099.6272315,16988
12918.853087,10991
11583.0061998,10888
14346.8567864,14392
19835.4964445,21981
16474.9313387,15999
12003.9725645,11988
9630.46533985,10795
10320.4151508,7998
9586.66465137,8991
15649.8863497,15900
8446.11567329,8900
12896.3355434,13500
12141.4803226,12997
16874.7726372,17000
13057.6237514,12988
13648.7423224,12999
10772.117669,8999
14863.8025494,14991
12357.5226146,9888
14530.5926198,14995
16530.765159,14995
12637.9446587,13999
6859.38848375,4873
15779.8978386,13988
11857.2478953,10995
11148.2832634,11950
14789.3431858,14991
17010.2047632,17400
15222.0878768,13950
17419.0521062,17995
20527.673528,21500
16569.5756987,17088
13190.1909648,12881
13728.9635971,13991
13281.3673352,11888
15907.8747934,15500
14142.1847831,12983
11751.5371841,12891
18372.3384737,22010
13744.1163027,14991
13132.4479081,13963
16534.3162404,15413
13778.0280265,13788
13601.0779547,12991
14526.3606603,15588
18358.9617638,18977
13765.4112447,13981
8327.08859984,7998
16684.4220672,17988
12520.1602416,12691
9499.33511383,8999
13865.9306734,12500
11743.8368904,10982
8427.67016151,8259
15309.3913953,15740
6848.11948145,5995
20573.1407733,19979
18535.1266986,25555
14647.8403429,14900
9164.14423809,10991
12249.8371007,11991
18565.1107409,17991
8018.47206432,8950
14013.9183523,14991
14753.9000411,15900
16653.6234964,16285
20491.3471827,18777
15492.8009131,16995
14440.6601748,14250
18697.5658468,21980
16241.2552512,15500
9593.0175511,10699
16777.7388509,14994
16859.6147325,17991
14135.459289,13399
18710.826832,19991
13065.6095633,12888
12382.3492983,14991
11963.7604335,7499
6347.19656548,7988
13450.9501192,13581
16572.3451476,16500
15026.2078727,13988
15483.71658,16500
11317.5931688,9994
15512.6804236,16400
14936.3375612,14991
16944.0771944,17000
15985.6477127,15981
13622.3204687,13991
7123.62692078,5500
9640.41679528,8363
17463.6062803,15981
12832.6693109,10495
11615.3549654,13991
7033.64507207,5460
